"012446","C","20103754446","2007/01/02 00:00:00","CL1AB1501X","FS  ","GVB ","N","Autorizado Ger. Adm","     750.1000","       0.00","       0.00","     750.10","   45.000","    0.000","N","TRANSF. CTA. SCOTIABANK                 "," 30","                                   ","                    "," ",
"012447","C","20416849766","2007/01/02 00:00:00","IALMACLIMA","JB  ","GVB ","E","Autorizado Ger. Adm","      11.0000","       2.09","       0.00","      13.09","    1.000","    0.000","N","EFECTIVO                                ","  1","                                   ","                    "," ",
"012448","S","20147720492","2007/01/02 00:00:00","IL056INSPE","AS  ","GVB ","N","Autorizado Ger. Adm","      63.0300","      11.97","       0.00","      75.00","    2.000","    0.000","N","TRANSF. CTA. SCOTIABANK                 "," 30","                                   ","                    "," ",
"012449","C","20510314078","2006/12/29 00:00:00","CL1AB1501X","FS  ","GVB ","E","Autorizado Ger. Adm","     140.8800","      26.77","       0.00","     167.65","   24.000","  110.000","N","TRANSF. CTA. SCOTIABANK                 "," 15","                                   ","                    "," ",
"012450","S","20101158927","2006/12/29 00:00:00","CALMACIQUI","FS  ","GVB ","E","Autorizado Ger. Adm","     126.1900","      23.98","       0.00","     150.17","  187.000","    0.000","N","TRANSF. CTA. SCOTIABANK                 ","  1","                                   ","                    "," ",
"012451","S","20502749855","2006/12/29 00:00:00","CL08CO1022","FS  ","GVB ","N","Autorizado Ger. Adm","      54.4500","      10.35","       0.00","      64.80","   18.000","    0.000","N","TRANSF. CTA. SCOTIABANK                 "," 15","                                   ","                    "," ",
"012452","S","20222234451","2006/12/28 00:00:00","ROFICITALA","LS  ","GVB ","N","Autorizado Ger. Adm","     781.5100","     148.49","       0.00","     930.00","    1.000","    0.000","N","CHEQUE GERENCIA                         ","  1","                                   ","                    "," ",
"012453","C","20510314078","2007/01/02 00:00:00","CL1AB1501X","FS  ","GVB ","E","Autorizado Ger. Adm","     496.9200","      94.41","       0.00","     591.33","   84.000","   84.000","N","TRANSF. CTA. SCOTIABANK                 "," 15","                                   ","                    "," ",
"012454","C","20112273922","2006/12/29 00:00:00","RSOTHERLAM","FS  ","GVB ","N","Autorizado Ger. Adm","     107.4800","      20.42","       0.00","     127.90","    1.000","    1.000","N","CHEQUE GERENCIA                         "," 30","                                   ","                    "," ",
"012455","C","10015392784","2006/12/29 00:00:00","IL056MAEST","AS  ","GVB ","N","Autorizado Ger. Adm","      98.3200","      18.68","       0.00","     117.00","    6.000","    6.000","N","EFECTIVO                                ","  1","                                   ","                    "," ",
"012456","C","10015392784","2006/12/29 00:00:00","IALMACLIMA","JB  ","GVB ","N","Autorizado Ger. Adm","      21.0100","       3.99","       0.00","      25.00","    1.000","    1.000","N","EFECTIVO                                ","  1","                                   ","                    "," ",
